,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,63,63,1680,6.1,10.2,0.592,0,0.1,0.333,6,10.2,0.594,2.5,4.3,0.582,4.4,8.1,12.5,3.1,1.1,1.4,2,2.6,14.7
2,Bam Adebayo\adebaba01,PF,22,MIA,72,72,2417,6.6,11.8,0.557,0,0.2,0.143,6.5,11.6,0.564,3.9,5.7,0.691,2.6,8.3,10.9,5.5,1.2,1.4,3,2.7,17.1
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,8,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.827,2.1,5.9,8,2.6,0.7,1.8,1.5,2.6,20.5
4,Kyle Alexander\alexaky01,PF,23,MIA,2,0,13,2.8,5.5,0.5,0,0,,2.8,5.5,0.5,0,0,,5.5,2.8,8.3,0,0,0,2.8,2.8,5.5
5,Nickeil Alexander-Walker\alexani01,SG,21,NOP,47,1,591,6,16.2,0.368,2.8,8.1,0.346,3.2,8.1,0.391,1.5,2.3,0.676,0.5,4.6,5.1,5.4,1,0.5,3.3,3.5,16.3
6,Grayson Allen\allengr01,SG,24,MEM,38,0,718,5.9,12.6,0.466,2.9,7.1,0.404,3,5.5,0.545,2,2.3,0.867,0.4,3.9,4.3,2.6,0.5,0.1,1.7,2.7,16.5
7,Jarrett Allen\allenja01,C,21,BRK,70,64,1852,5.9,9,0.649,0,0.1,0,5.9,8.9,0.658,3.3,5.2,0.633,4.2,8.8,13,2.1,0.8,1.8,1.5,3.1,15.1
8,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
9,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6,8.2,2,1.7,0.8,1.6,2.6,7.4
10,Justin Anderson\anderju01,SF,26,BRK,10,1,107,3.4,12.8,0.263,2,9.8,0.207,1.3,3,0.444,0.7,1.3,0.5,0.3,6.7,7.1,2.7,0,2,1.3,4.4,9.4
11,Kyle Anderson\anderky01,PF,26,MEM,67,28,1330,4.2,9,0.474,0.6,2.3,0.282,3.6,6.7,0.541,1.4,2.1,0.667,1.6,6.1,7.7,4.4,1.5,1,1.8,3,10.6
12,Ryan Anderson\anderry01,C,31,HOU,2,0,14,5.1,18,0.286,2.6,12.9,0.2,2.6,5.1,0.5,0,0,,0,18,18,5.1,2.6,0,2.6,2.6,12.9
13,Giannis Antetokounmpo\antetgi01,PF,25,MIL,63,63,1917,12.9,23.2,0.553,1.7,5.5,0.304,11.2,17.7,0.631,7.5,11.8,0.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9
14,Kostas Antetokounmpo\antetko01,PF,22,LAL,5,0,20,5.4,5.4,1,0,0,,5.4,5.4,1,1.8,3.6,0.5,3.6,1.8,5.4,3.6,0,0,1.8,3.6,12.6
15,Thanasis Antetokounmpo\antetth01,SF,27,MIL,20,2,129,6.7,13.4,0.5,0,2.8,0,6.7,10.6,0.632,2,4.7,0.412,3.3,3.3,6.7,4.2,2,0.6,3.3,5,15.3
16,Carmelo Anthony\anthoca01,PF,35,POR,58,58,1902,6.4,14.8,0.43,1.6,4.3,0.385,4.7,10.5,0.448,2.6,3,0.845,1.3,5.6,7,1.6,0.9,0.5,1.9,3.2,16.9
17,OG Anunoby\anunoog01,SF,22,TOR,69,68,2066,5,9.9,0.505,1.6,4,0.39,3.4,5.9,0.583,1.3,1.8,0.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8
18,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1,1.5,0.711,0.8,3.5,4.3,3.7,1,0.1,1.4,3.7,10.1
19,Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,3.4,7.8,0.438,1.9,5,0.372,1.6,2.8,0.556,1.5,1.8,0.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
19,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,2.9,7.5,0.388,2,5.6,0.352,1,2,0.488,1,1.2,0.778,1,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
19,Trevor Ariza\arizatr01,SF,34,POR,21,21,702,4,8.2,0.491,1.7,4.4,0.4,2.3,3.8,0.595,2.1,2.4,0.872,0.7,4.5,5.1,2.1,1.7,0.4,1.4,2.5,11.8
20,D.J. Augustin\augusdj01,PG,32,ORL,57,13,1420,4.7,11.7,0.399,1.8,5.1,0.348,2.9,6.6,0.438,4.1,4.6,0.89,0.6,2.5,3.1,6.6,0.9,0,2.2,1.8,15.2
21,Deandre Ayton\aytonde01,C,21,PHO,38,32,1236,9,16.5,0.546,0.1,0.4,0.231,8.9,16.2,0.553,2,2.6,0.753,4.3,8.4,12.7,2.1,0.8,1.7,2.3,3.4,20.1
22,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,4.5,12.8,0.348,1,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
23,Marvin Bagley III\baglema01,PF,20,SAC,13,6,334,8.4,18,0.467,0.4,2.4,0.182,8,15.6,0.51,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
24,Lonzo Ball\balllo01,PG,22,NOP,63,54,2025,4.9,12.2,0.403,2.6,7,0.375,2.3,5.2,0.442,0.8,1.4,0.566,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2
25,Mo Bamba\bambamo01,C,21,ORL,62,0,878,5.4,11.7,0.462,1.5,4.4,0.346,3.9,7.3,0.531,1.3,1.9,0.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.6
26,J.J. Barea\bareajo01,PG,35,DAL,29,6,450,6.8,16.6,0.411,2.6,6.8,0.376,4.2,9.8,0.434,1.6,1.8,0.909,0.8,3.4,4.2,9,0.4,0.2,3,2.2,17.8
27,Harrison Barnes\barneha02,PF,27,SAC,72,72,2482,5.3,11.5,0.46,1.5,3.9,0.381,3.8,7.6,0.501,3.1,3.9,0.801,1.1,4,5.1,2.3,0.6,0.2,1.3,1.3,15.2
28,RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,6.2,15.4,0.402,1.3,4.2,0.32,4.8,11.2,0.432,3.3,5.4,0.614,1.1,4.8,5.9,3,1.2,0.4,2.6,2.6,17
29,Will Barton\bartowi01,SF,29,DEN,58,58,1916,6.2,13.9,0.45,2,5.4,0.375,4.2,8.5,0.498,1.9,2.5,0.767,1.4,5.4,6.9,4,1.1,0.5,1.7,2.3,16.4
30,Keita Bates-Diop\bateske01,SF,24,TOT,44,0,744,4.8,11.3,0.427,1.6,5,0.33,3.2,6.3,0.504,2.6,3.6,0.72,1.2,4.9,6.1,1.5,0.9,1.2,0.8,2.1,13.9
30,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,4.8,11.5,0.422,1.7,5.2,0.33,3.1,6.2,0.5,2.6,3.6,0.708,1.2,5,6.1,1.7,0.9,1.1,0.8,2,14
30,Keita Bates-Diop\bateske01,SF,24,DEN,7,0,98,4.8,10.3,0.464,1.1,3.3,0.333,3.7,7,0.526,2.9,3.7,0.8,1.5,4.8,6.2,0,0.7,1.5,1.1,2.6,13.6
31,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2,5.8,0.346,1,3.5,0.286,1,2.3,0.438,0.6,0.7,0.9,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
32,Aron Baynes\baynear01,C,33,PHO,42,28,934,7.1,14.7,0.48,2.3,6.5,0.351,4.8,8.2,0.582,2.2,2.9,0.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5
33,Kent Bazemore\bazemke01,SF-SG,30,TOT,68,21,1688,4.3,11.4,0.375,1.8,5.2,0.344,2.5,6.2,0.4,2.4,3.1,0.769,0.6,5.7,6.3,2,1.6,0.9,1.9,4.2,12.7
33,Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,3.7,10.6,0.347,1.8,5.5,0.327,1.8,5,0.368,1.9,2.3,0.806,0.4,5.2,5.6,2,1.5,1,1.9,3.9,11
33,Kent Bazemore\bazemke01,SG,30,SAC,25,0,577,5.4,13,0.418,1.7,4.6,0.384,3.7,8.4,0.437,3.4,4.7,0.733,0.9,6.7,7.6,2,1.8,0.6,1.9,4.7,16
34,Darius Bazley\bazleda01,PF,19,OKC,61,9,1130,4,10.1,0.394,1.6,4.5,0.348,2.4,5.6,0.432,1.4,2,0.694,1,6.9,7.8,1.3,0.7,1.3,1.4,1.8,10.9
35,Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,10.4,22.8,0.455,3,8.4,0.353,7.4,14.4,0.515,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
36,Malik Beasley\beaslma01,SG,23,TOT,55,14,1209,6.8,15.9,0.425,3.2,8.2,0.388,3.6,7.7,0.465,1.6,2,0.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3
36,Malik Beasley\beaslma01,SG,23,DEN,41,0,746,5.6,14.5,0.389,2.8,7.8,0.36,2.8,6.8,0.421,1.6,1.8,0.868,0.4,3.3,3.7,2.3,1.5,0.3,1.7,2.4,15.7
36,Malik Beasley\beaslma01,SG,23,MIN,14,14,463,8.6,18.1,0.472,3.8,8.9,0.426,4.7,9.2,0.517,1.6,2.2,0.75,0.7,4.8,5.5,2.1,0.7,0.2,1.6,2.1,22.5
37,Marco Belinelli\belinma01,SG,33,SAS,57,0,883,5,12.8,0.392,2.7,7.3,0.376,2.3,5.5,0.412,2,2.4,0.828,0.3,3.8,4,2.8,0.5,0,0.8,1.8,14.7
38,Jordan Bell\belljo01,C-PF,25,TOT,29,0,256,4.9,9.4,0.522,0.6,1.7,0.333,4.4,7.7,0.564,2.7,4.4,0.613,4.2,7.2,11.4,2.3,0.4,1.4,3,2.7,13.1
38,Jordan Bell\belljo01,C,25,MIN,27,0,235,4.9,9.2,0.533,0.3,1.4,0.222,4.6,7.8,0.588,2.6,4.4,0.586,4.3,7.7,11.9,2.1,0.3,1.5,2.8,2.6,12.7
38,Jordan Bell\belljo01,PF,25,MEM,2,0,21,5.1,12,0.429,3.4,5.1,0.667,1.7,6.9,0.25,3.4,3.4,1,3.4,1.7,5.1,3.4,1.7,0,5.1,3.4,17.1
